1957,0,0.154
1957,0.154,0
1957,0.003,0.008
1957,0.084,0.033
1957,0.002,0.035
1957,0.157,0.007
1957,0.01,0.14
1957,0,0.022
1957,0.002,0
1957,0.078,0.074
1957,0.101,0.002
1957,0.169,0.318
1957,0.139,0.096
1957,0.172,0
1957,0,0
1957,0,0.05
1958,0.152,0.013
1958,0,0
1958,0,0.445
1958,0.002,0
1958,0.007,0.079
1958,0.013,0.006
1958,0.161,0.008
1958,0,0.001
1958,0.274,0.001
1958,0.001,0.025
1958,0.122,0.046
1958,0.101,0.007
1958,0.012,0.019
1958,0.002,0
1958,0.066,0
1958,0.04,0.012
1959,0.015,0
1959,0,0
1959,0,0.086
1959,0.021,0.006
1959,0,0.115
1959,0.004,0.09
1959,0.01,0
1959,0,0
1959,0.055,0
1959,0.004,0.076
1959,0.053,0.09
1959,0,0
1959,0,0.078
1959,0.09,0.121
1959,0.028,1.027
1959,0,0.104
1959,0.032,0.023
1959,0.133,0.172
1959,0.083,0.002
1959,0,0
1960,0,0.01
1960,0,0
1960,0.042,0.057
1960,0,0
1960,0,0.093
1960,0,0.183
1960,0.152,0
1960,0,0
1960,0,0
1960,0,0
1960,0,0
1960,0,0
1960,0.008,0
1960,0.04,0.06
1960,0.003,0.102
1960,0.011,0.041
